"eid","afid","affil","city","country","n_collab_unis","collab_unis","address","latitude","longitude"
"2-s2.0-105027473607","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-105027473607","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-105024337618","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-105024337618","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-105024317219","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-105024317219","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-105023584146","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-105023584146","60021796","Università Bocconi","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-105023418043","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-105023418043","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-105014900128","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-105014900128","60021796","Università Bocconi","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-105017617177","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-105017617177","60021796","Università Bocconi","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-105014181189","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-105014181189","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-105011340783","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-105011340783","60021796","Università Bocconi","Milan","Italy",2,"Politecnico di Milano | Università Bocconi","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-105010298066","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
"2-s2.0-105010298066","60021796","Università Bocconi","Milan","Italy",2,"Università Bocconi | Università Cattolica del Sacro Cuore","Università Bocconi, Milan, Italy",45.4498836,9.1892636
"2-s2.0-105002147190","60023256","Politecnico di Milano","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Politecnico di Milano, Milan, Italy",45.4790288,9.2322104
"2-s2.0-105002147190","60024053","Università Cattolica del Sacro Cuore","Milan","Italy",2,"Politecnico di Milano | Università Cattolica del Sacro Cuore","Università Cattolica del Sacro Cuore, Milan, Italy",45.4618543,9.1770563
